predict	b	e	m	t
e	0.09482267249456168	0.41517909803216474	0.09573148786118553	0.3942667416120881
b	0.6301118201370883	0.15604837576647598	0.05833289251992114	0.1555069115765146
b	0.3607997583227189	0.23331605892740376	0.14831836916893462	0.25756581358094277
e	0.0014070807757798603	0.9933715055588646	0.0027153012815825696	0.002506112383773052
b	0.9395006429630316	0.020284359800913702	0.013678541580878759	0.026536455655175838
e	0.23775425168817066	0.47713080763748084	0.05680731575041161	0.22830762492393683
b	0.9509936656198333	0.011892636948106609	0.01366986408077104	0.02344383335128916
b	0.958601255342503	0.012622745896741765	0.017968816535751705	0.010807182225003412
b	0.7396818831589967	0.014247120930672565	0.0188732480609558	0.22719774784937496
b	0.7892278984544491	0.04335091752576471	0.0437549062326432	0.12366627778714305
e	0.21617339201604344	0.6376775775601399	0.06621452808146518	0.07993450234235144
e	0.0010265599977474105	0.9943372885946997	0.002683931011680464	0.0019522203958725346
b	0.5673497018723381	0.32835926640927016	0.03583422667518742	0.06845680504320434
b	0.7629374869309644	0.058365954487530985	0.06001675856355973	0.11867980001794487
m	0.00303287295679527	0.4912424657647385	0.49149950769793527	0.014225153580531074
b	0.5743897467058943	0.21176439127999505	0.07694481067022067	0.13690105134389008
e	0.006291333212782451	0.9622323970037929	0.01807149732842282	0.013404772455001842
e	0.004889827511170033	0.9672347964213917	0.007633770311002828	0.020241605756435497
b	0.6618483166460102	0.016339035313155635	0.015720235048150174	0.3060924129926839
e	0.0018730832606205464	0.6590289154388886	0.3341201172507376	0.004977884049753154
b	0.9137557851880639	0.012765039577853916	0.018113547291965782	0.05536562794211639
b	0.8747442018606056	0.017194679895003003	0.021975020549927265	0.08608609769446403
b	0.43604638884506874	0.316058997106242	0.07612581626208896	0.17176879778660034
m	0.09892532351480643	0.13303067766278914	0.6539790890043328	0.11406490981807173
e	0.38212454151370884	0.47844152077483987	0.06635935597981399	0.07307458173163711
b	0.9854127406553859	0.0037196982173481313	0.00473700406983547	0.006130557057430243
b	0.37845981203437723	0.3685255155902328	0.10447286151384397	0.14854181086154603
e	0.08016889088675197	0.8182238719985929	0.042868871184030245	0.058738365930624786
e	0.0014688838342104794	0.9939081760299822	0.0021210926742513563	0.0025018474615560817
e	0.25924230210925464	0.5095818893537605	0.07196354704009061	0.15921226149689424
e	0.30073307458248616	0.5564154824843348	0.0516376002113403	0.09121384272183865
e	0.1919672618359819	0.5156210552687409	0.09241342438846309	0.19999825850681405
e	0.016799835185284034	0.8112520733329347	0.026011296293127362	0.14593679518865402
b	0.81663718142408	0.026396837807340964	0.043083909341627924	0.11388207142695106
e	0.29394835785221046	0.4084097201568185	0.12896492004542645	0.16867700194554455
t	0.07435710948004573	0.14521376998148364	0.029405762705362725	0.751023357833108
